flight_id,flight_duration,passenger_count,adult_passengers,child_passengers,business_class_ratio,is_international,total_food_demand
1,3.76,150,117,33,0.195,0,212
2,6.54,88,76,12,0.048,1,146
3,4.96,83,75,8,0.06,1,127
4,5.53,146,132,14,0.277,0,192
5,4.98,93,73,20,0.107,1,158
6,3.0,219,201,18,0.086,0,273
7,3.31,89,77,12,0.439,0,129
8,1.49,146,134,12,0.29,0,140
9,3.25,189,151,38,0.238,0,250
10,11.59,179,154,25,0.059,0,357
11,2.75,300,264,36,0.099,0,260
12,3.93,205,180,25,0.199,0,290
13,2.18,123,96,27,0.402,0,111
14,6.42,135,114,21,0.155,1,203
15,4.54,258,209,49,0.068,1,361
16,11.4,139,108,31,0.629,1,348
17,3.35,116,90,26,0.304,0,157
18,1.07,248,220,28,0.205,0,254
19,4.01,285,217,68,0.101,0,392
20,1.16,249,236,13,0.285,0,249
21,7.65,261,229,32,0.385,0,575
22,3.26,125,97,28,0.238,0,155
23,2.39,276,248,28,0.318,0,281
24,7.91,258,232,26,0.023,1,602
25,5.24,141,126,15,0.219,0,193
26,11.96,282,234,48,0.034,0,570
27,10.71,59,51,8,0.41,0,136
28,4.39,135,109,26,0.644,0,210
29,1.37,151,117,34,0.347,0,127
30,2.37,234,191,43,0.158,0,202
31,9.15,274,250,24,0.043,1,749
32,1.1,263,201,62,0.737,0,276
33,1.24,157,141,16,0.363,0,137
34,9.37,214,197,17,0.129,0,424
35,4.14,254,237,17,0.23,0,362
36,1.56,140,118,22,0.434,0,132
37,2.51,241,224,17,0.426,0,221
38,7.16,128,119,9,0.362,0,295
39,7.1,135,121,14,0.337,1,339
40,3.51,271,243,28,0.61,0,475
41,5.01,156,130,26,0.163,0,230
42,2.3,217,171,46,0.048,0,178
43,1.31,150,120,30,0.334,0,134
44,2.7,275,247,28,0.348,0,269
45,6.31,157,142,15,0.152,0,222
46,9.33,109,83,26,0.161,1,263
47,1.07,275,261,14,0.467,0,274
48,5.64,299,232,67,0.11,0,420
49,1.37,97,89,8,0.19,0,94
50,3.93,166,127,39,0.337,1,259
51,2.36,276,244,32,0.263,0,267
52,11.12,155,134,21,0.494,0,349
53,10.04,196,159,37,0.323,0,436
54,9.34,249,208,41,0.07,0,443
55,2.23,280,249,31,0.312,0,262
56,11.44,82,69,13,0.323,0,157
57,7.03,93,75,18,0.066,0,177
58,10.71,269,254,15,0.168,1,703
59,5.0,214,203,11,0.09,0,281
60,5.16,161,139,22,0.14,0,199
61,1.46,138,128,10,0.675,0,151
62,2.09,85,70,15,0.041,0,81
63,2.24,130,118,12,0.3,0,120
64,4.52,137,119,18,0.065,1,188
65,6.69,198,181,17,0.053,0,240
66,3.23,179,151,28,0.304,1,296
67,7.17,80,75,5,0.534,0,169
68,4.82,157,149,8,0.3,1,273
69,1.92,274,258,16,0.139,0,255
70,4.35,79,60,19,0.623,0,131
71,9.04,253,234,19,0.301,0,539
72,4.79,221,179,42,0.201,0,290
73,3.05,61,58,3,0.205,0,76
74,6.38,100,93,7,0.176,0,127
75,6.72,170,145,25,0.539,1,277
76,7.83,226,194,32,0.131,1,464
77,5.94,293,223,70,0.182,1,462
78,4.26,201,153,48,0.644,0,339
79,7.49,201,160,41,0.349,1,505
80,7.66,299,249,50,0.297,0,685
81,7.85,237,204,33,0.715,0,581
82,8.1,188,166,22,0.303,0,407
83,4.43,62,48,14,0.204,0,77
84,10.77,140,117,23,0.272,0,323
85,2.05,249,208,41,0.493,0,262
86,6.76,123,112,11,0.714,0,213
87,4.6,249,235,14,0.215,1,437
88,10.73,241,184,57,0.162,1,565
89,2.34,69,62,7,0.131,0,62
90,6.18,121,105,16,0.278,0,187
91,4.69,122,114,8,0.213,1,216
92,6.02,120,94,26,0.089,0,153
93,8.78,127,120,7,0.491,1,292
94,7.03,77,61,16,0.334,1,178
95,11.91,179,166,13,0.283,0,397
96,2.23,170,132,38,0.493,0,188
97,10.54,92,74,18,0.328,1,226
98,11.34,57,53,4,0.386,1,149
99,1.15,62,52,10,0.063,0,48
100,10.82,262,233,29,0.212,0,563
101,3.8,160,147,13,0.087,0,237
102,8.24,269,210,59,0.134,0,457
103,6.69,84,74,10,0.333,1,134
104,9.82,72,63,9,0.323,1,194
105,3.91,95,88,7,0.22,0,132
106,3.52,64,56,8,0.063,0,84
107,5.9,179,139,40,0.298,1,304
108,3.67,110,97,13,0.499,0,156
109,4.33,164,125,39,0.37,0,230
110,1.58,253,193,60,0.433,0,259
111,1.28,113,105,8,0.265,0,104
112,10.28,298,273,25,0.439,1,743
113,3.01,101,79,22,0.394,1,148
114,9.96,213,186,27,0.586,0,500
115,2.75,244,232,12,0.197,0,263
116,9.57,118,106,12,0.459,0,237
117,2.93,116,97,19,0.478,0,113
118,10.0,298,236,62,0.24,1,729
119,1.23,224,207,17,0.648,0,223
120,9.52,132,123,9,0.262,1,323
121,10.58,51,40,11,0.07,0,96
122,6.93,221,177,44,0.18,0,281
123,2.25,278,232,46,0.164,0,242
124,4.06,241,192,49,0.494,0,376
125,1.56,295,255,40,0.366,0,301
126,5.71,258,206,52,0.326,0,376
127,6.78,127,112,15,0.231,0,181
128,3.4,77,70,7,0.455,1,153
129,1.73,268,216,52,0.238,0,241
130,5.06,103,90,13,0.195,0,144
131,1.89,251,190,61,0.199,0,208
132,2.97,116,103,13,0.145,0,114
